id,fid,name,file,text,created_at,updated_at
1,27798254,pluginRegistryContains,,"
 
     public boolean pluginRegistryContains(String pluginName) {
        synchronized (registry) {
            Iterator iter;
            for (iter = registry.iterator(); iter.hasNext();) {
                PluginRegistryNode node = (PluginRegistryNode)iter.next();
                if (node.plugin.getName().equals(pluginName)) return true;
            }
        }
        return false;
    }
",2021-02-23 16:11:10.619765,2021-02-23 16:11:10.619765
2,27801498,setBinWidth,,"
 
   public void setBinWidth ( double new_bin_width ) {
    double old_bin_width = binWidth;
    binWidth = new_bin_width;
    pcs.firePropertyChange(
      ""binWidth"",
      new Double( old_bin_width ),
      new Double( new_bin_width )
    );
    repaint();
  } // setBinWidth( double )
",2021-02-23 16:11:10.671729,2021-02-23 16:11:10.671729
3,27802185,createGraphModel,,"
 
   public GraphModel createGraphModel ( List includedNodes ) {
    num_models++;
    System.out.println(""PGraphModel: creating a new non-super graphmodel: ""+num_models);

    GraphModel model =  new PGraphModel( ""Phoebe""+num_models, getModelSubSet( includedNodes ) );

    getCommunity().add( model );

    //return new PGraphModel( ""Phoebe""+num_models, getModelSubSet( includedNodes ) );


    return model;
  }
",2021-02-23 16:11:10.69076,2021-02-23 16:11:10.69076
4,22907997,removeRedundantOperations,,"
 
     private void removeRedundantOperations(OBEXElement file, List<OBEXElement> filesToRemove) {
        OBEXElement parentFolder = file;
        log.debug(""Removing redundant operations"");

        while ((parentFolder = parentFolder.getParent()) != null) {

            if (filesToRemove.contains(parentFolder)) {
                filesToRemove.remove(file);
                file = parentFolder;
            }
        }
    }
",2021-02-23 16:11:10.7085,2021-02-23 16:11:10.7085
5,44521080,BFSdist,,"
 
 	public void BFSdist(Node n, Vector ToDo, int[] indirConn){
	Node n2 = null;
	for (Enumeration es = n.adjEdges.elements() ; es.hasMoreElements() ;) {
		n2 = n.adjNode((Edge)es.nextElement());
		if (n2.dist<0){
		n2.dist=n.dist+1;
		indirConn[n2.dist]++;

		// important add adds to the end of the list
		ToDo.add(n2);
		}
	}
	if (!ToDo.isEmpty()){
		n2 = (Node) ToDo.remove(0);
		BFSdist(n2,ToDo,indirConn);
	}
	}
",2021-02-23 16:11:10.726125,2021-02-23 16:11:10.726125
6,45047585,exportXVRL,,"
 
 	public void exportXVRL(XMLStreamWriter xvrLDoc) throws Exception{
		JAXBContext context = JAXBContext.newInstance(ValidationReport.class);
		Marshaller m = context.createMarshaller();
		m.setProperty(Marshaller.JAXB_FORMATTED_OUTPUT, true);
		ValidationReport vReport = exportVReport();
		if (vReport!=null) m.marshal(vReport, xvrLDoc);
	}
",2021-02-23 16:11:10.74391,2021-02-23 16:11:10.74391
7,49250848,isInvalidEmailLink,,"
 
     public boolean isInvalidEmailLink() {
        return textLink.contains(ArticleLink.EMAIL_AT_SEPARATOR) &&
            !textLink.toLowerCase(Locale.getDefault()).startsWith(""mailto:"") && //$NON-NLS-1$
            wikiFileURL.getWikiFileName(true).contains(ArticleLink.EMAIL_AT_SEPARATOR);
    }
",2021-02-23 16:11:10.771694,2021-02-23 16:11:10.771694
8,20950900,load,,"
 
 	private void load(LockedFile file) throws SQLIOException {
		file.setPosition(POS_HEADER);

		byte[] buffer = new byte[BASE_HEADER_SIZE];
		file.read(buffer, 0, BASE_HEADER_SIZE);

		type = buffer[POS_TYPE];
		lastUpdate = decode3Date(buffer, POS_LAST_UDPATE);
		recordsNum = DbfUtils.decodeLittleUint16(buffer, POS_RECORDS_NUM);
		recordSize = DbfUtils.decodeLittleUint16(buffer, POS_RECORD_SIZE);
		headerSize = DbfUtils.decodeLittleUint16(buffer, POS_HEADER_SIZE);

		verifyAndFixHeader(file);
	}
",2021-02-23 16:11:10.79201,2021-02-23 16:11:10.79201
9,31468595,getLength,,"
 
     public int getLength() {

        if (nodeListChanges != changes || nodeListLength == -1) {
            nodeListChanges = changes;
            nodeListLength = 0;
            nodeListIndex = 0;
            nodeListNode = firstChild;
            for (NodeImpl node = firstChild; node != null; node = node.nextSibling) {
                nodeListLength++;
            }
        }
        
        return nodeListLength;

    } // getLength():int
",2021-02-23 16:11:10.812736,2021-02-23 16:11:10.812736
10,31468812,getAttributeNS,,"
 
     public String getAttributeNS(String namespaceURI, String localName) {

        if (syncData) {
            synchronizeData();
        }

        Attr attr = (Attr)(attributes.getNamedItemNS(namespaceURI, localName));
        return (attr == null) ? null : attr.getValue();

    } // getAttributeNS(String,String):String
",2021-02-23 16:11:10.839673,2021-02-23 16:11:10.839673
11,5440773,getPageContext,,"
 
     public PageContext getPageContext(Servlet servlet, ServletRequest request, ServletResponse response, String errorPageURL, boolean needsSession, int bufferSize, boolean autoFlush) {
        PageContextImpl context = new PageContextImpl();
        context.initialize(servlet, request, response, errorPageURL, needsSession, bufferSize, autoFlush);
        return context;
    }
",2021-02-23 16:11:10.860429,2021-02-23 16:11:10.860429
12,34413723,openNewContainerWindow,,"
 
 		public boolean openNewContainerWindow(String containerName, String containerDescription){
			//if name is blank, disable use default option
			NewContainerImportWindow window;
			if(containerName.equals("""")){
				window = new NewContainerImportWindow();
			}
			else{
				window = new NewContainerImportWindow(containerName,containerDescription);
			}
			window.setParent(OrganiserView.this);
			try{
				window.doModal();
			}
			catch(InterruptedException ie){
				ie.printStackTrace(System.err);
			}
			if(doImport){
				importer.setContainerName(window.getName());
				importer.setContainerDescription(window.getDescription());
			}
			return doImport;
		}
",2021-02-23 16:11:10.879151,2021-02-23 16:11:10.879151
13,34413807,close,,"
 
 	public void close(){
		Tabpanel tempPanel = null;
		View tempView = null;
		List<?> list;
		Enumeration<Tabbox> tabs = primaryTabMap.keys();
		while (tabs.hasMoreElements())
		{
			list = tabs.nextElement().getTabpanels().getChildren();
			Iterator<?> itr = list.iterator();
			while(itr.hasNext()){
				tempPanel = (Tabpanel)itr.next();
				tempView = (View)tempPanel.getChildren().get(0);
				tempView.deregisterView();
			}
		}
	}
",2021-02-23 16:11:10.898582,2021-02-23 16:11:10.898582
14,34413808,init,,"
 
 	private void init() {
		_innerData = Collections.synchronizedMap(new LinkedHashMap<String,Object>());
		Iterator<Entry<String,Object>> itr = _srcModel.entrySet().iterator();
		while(itr.hasNext()){
			Entry<String, Object> entry = itr.next();
			_innerData.put(entry.getKey(), entry.getValue());
		}
		
		_srcListener = new ListDataListener(){
			public void onChange(ListDataEvent event) {
				onListDataChange(event);
			}
		};
		
		_srcModel.addListDataListener(_srcListener);
	}
",2021-02-23 16:11:10.918033,2021-02-23 16:11:10.918033
