function_id,user_id,accurate,adequate,concise,similarity,source,text,text.1,bleu,b1,b2,b3,b4,bleu_cat
1,1,4,1,1,4,reference,tests if plugin is in registry,checks if the plugin contains the given plugin name,1.2508498911928379e-231,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,2
1,3,4,1,1,4,alex1,checks if the plugin contains the given plugin name,tests if plugin is in registry,1.2508498911928379e-231,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,2
1,4,4,2,2,2,alex1,checks if the plugin contains the given plugin name,tests if plugin is in registry,1.2508498911928379e-231,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,2
1,6,4,1,1,3,reference,tests if plugin is in registry,checks if the plugin contains the given plugin name,1.2508498911928379e-231,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,2
2,1,4,3,1,4,reference,sets the bin width and repaints,sets the dimensions of the bin,9.975386110402101e-155,0.5,0.4,2.2250738585072626e-308,2.2250738585072626e-308,3
2,3,3,2,1,2,alex1,sets the dimensions of the bin,sets the bin width and repaints,9.975386110402101e-155,0.5,0.4,2.2250738585072626e-308,2.2250738585072626e-308,3
2,4,4,1,1,1,reference,sets the bin width and repaints,sets the dimensions of the bin,9.975386110402101e-155,0.5,0.4,2.2250738585072626e-308,2.2250738585072626e-308,3
2,6,4,1,1,3,alex1,sets the dimensions of the bin,sets the bin width and repaints,9.975386110402101e-155,0.5,0.4,2.2250738585072626e-308,2.2250738585072626e-308,3
3,1,4,2,1,3,reference,create a new pgraph model based on set of nodes,creates a new graph model,3.4150773803399636e-155,0.2207276647028654,0.09196986029286058,8.18558927632837e-309,8.18558927632837e-309,2
3,3,4,1,1,2,alex1,creates a new graph model,create a new pgraph model based on set of nodes,3.4150773803399636e-155,0.2207276647028654,0.09196986029286058,8.18558927632837e-309,8.18558927632837e-309,2
3,4,4,2,2,3,alex1,creates a new graph model,create a new pgraph model based on set of nodes,3.4150773803399636e-155,0.2207276647028654,0.09196986029286058,8.18558927632837e-309,8.18558927632837e-309,2
3,6,4,1,1,4,reference,create a new pgraph model based on set of nodes,creates a new graph model,3.4150773803399636e-155,0.2207276647028654,0.09196986029286058,8.18558927632837e-309,8.18558927632837e-309,2
4,1,2,3,3,1,reference,optimize the list of files to remove by discarding redundant operations like,remove the <UNK> of the <UNK>,5.635809992474887e-232,0.18393972058572117,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,1
4,3,2,4,1,2,alex1,remove the <UNK> of the <UNK>,optimize the list of files to remove by discarding redundant operations like,5.635809992474887e-232,0.18393972058572117,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,1
4,4,3,3,3,2,reference,optimize the list of files to remove by discarding redundant operations like,remove the <UNK> of the <UNK>,5.635809992474887e-232,0.18393972058572117,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,1
4,6,1,4,3,1,alex1,remove the <UNK> of the <UNK>,optimize the list of files to remove by discarding redundant operations like,5.635809992474887e-232,0.18393972058572117,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,1
5,1,4,1,1,1,reference,traverses the graph breadth first and updates the distance,<UNK> the node,1.8734367966736672e-232,0.045111761078870896,3.01131000863463e-309,3.01131000863463e-309,3.01131000863463e-309,1
5,3,1,4,1,1,alex1,<UNK> the node,traverses the graph breadth first and updates the distance,1.8734367966736672e-232,0.045111761078870896,3.01131000863463e-309,3.01131000863463e-309,3.01131000863463e-309,1
5,4,1,4,2,1,alex1,<UNK> the node,traverses the graph breadth first and updates the distance,1.8734367966736672e-232,0.045111761078870896,3.01131000863463e-309,3.01131000863463e-309,3.01131000863463e-309,1
5,6,4,1,1,1,reference,traverses the graph breadth first and updates the distance,<UNK> the node,1.8734367966736672e-232,0.045111761078870896,3.01131000863463e-309,3.01131000863463e-309,3.01131000863463e-309,1
6,1,2,3,2,2,reference,transform the validation report object into a xmlstream writer,exports the specified xml stream to the xml xml,1.0518351895246305e-231,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,2
6,3,3,3,1,1,alex1,exports the specified xml stream to the xml xml,transform the validation report object into a xmlstream writer,1.0518351895246305e-231,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,2
6,4,2,3,3,1,reference,transform the validation report object into a xmlstream writer,exports the specified xml stream to the xml xml,1.0518351895246305e-231,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,2
6,6,2,4,3,1,alex1,exports the specified xml stream to the xml xml,transform the validation report object into a xmlstream writer,1.0518351895246305e-231,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,2
7,1,3,2,2,3,reference,returns code true code if this link is an invalid email address link,checks if the email link is an invalid email link,0.31654199979887593,0.5185727544772025,0.3292525425252079,0.2778068327556442,0.2116623487662051,4
7,3,4,3,1,3,alex1,checks if the email link is an invalid email link,returns code true code if this link is an invalid email address link,0.31654199979887593,0.5185727544772025,0.3292525425252079,0.2778068327556442,0.2116623487662051,4
7,4,4,1,1,3,alex1,checks if the email link is an invalid email link,returns code true code if this link is an invalid email address link,0.31654199979887593,0.5185727544772025,0.3292525425252079,0.2778068327556442,0.2116623487662051,4
7,6,3,2,1,4,reference,returns code true code if this link is an invalid email address link,checks if the email link is an invalid email link,0.31654199979887593,0.5185727544772025,0.3292525425252079,0.2778068327556442,0.2116623487662051,4
8,1,2,3,3,2,reference,loads the image from a file,load the file,6.056071959384271e-232,0.24525296078096154,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,1
8,3,4,2,1,2,alex1,load the file,loads the image from a file,6.056071959384271e-232,0.24525296078096154,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,1
8,4,2,3,3,2,reference,loads the image from a file,load the file,6.056071959384271e-232,0.24525296078096154,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,1
